question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
what are the languages spoken in the movies whose writers also wrote [Godzilla],German,3,what are the languages spoken in the movies whose writers also wrote [],"MATCH (m:movie)-[:written_by]->(w:writer), (godzilla:movie {name: ""Godzilla""})-[:written_by]->(w) 
MATCH (m)-[:in_language]->(l:language) 
RETURN DISTINCT l.name",[{'l.name': 'German'}],matched,
who starred films for the screenwriter of [Lulu on the Bridge],Roseanne Barr|Lou Reed|James Spader|Michael J. Fox|Harvey Keitel|Mandy Patinkin|Mel Gorham,3,who starred films for the screenwriter of [],,[],unmatched,
what genres do the films that share directors with [Shooter] fall under,Action|Thriller|Crime,3,what genres do the films that share directors with [] fall under,"MATCH (m:movie {name: ""Shooter""})-[:directed_by]->(d:director)<-[:directed_by]-(otherMovies:movie)-[:has_genre]->(g:genre) RETURN DISTINCT g.name;","[{'g.name': 'Crime'}, {'g.name': 'Action'}, {'g.name': 'Thriller'}]",matched,
who wrote films that share directors with the film [Step Up],Aline Brosh McKenna|Dan Fogelman,3,who wrote films that share directors with the film [],"MATCH (m:movie {name: ""Step Up""})-[:directed_by]->(d:director)<-[:directed_by]-(sharedMovie:movie)-[:written_by]->(w:writer)
RETURN w.name","[{'w.name': 'Aline Brosh McKenna'}, {'w.name': 'Dan Fogelman'}]",matched,
what were the release dates of films starred by actors in [Gosford Park],1928|1986|1987|1984|1985|1969|1981|1965|1988|2015|2014|2011|2010|2013|2012|1978|1948|1952|1992|1995|1994|1997|1996|1999|1974|1973|2002|2003|2006|2005|2008|2009,3,what were the release dates of films starred by actors in [],"MATCH (m:movie)-[:starred_actors]->(a:actor), (gp:movie {name: ""Gosford Park""})-[:starred_actors]->(a) RETURN m.release_year","[{'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}, {'m.release_year': None}]",unmatched,
what genres are the movies written by [Back in the Saddle] writers,Drama|Thriller,3,what genres are the movies written by [] writers,,[],unmatched,
when did the films release whose actors also appear in the film [Bulletproof Monk],2002|2003|2000|2001|2007|2008|2011,3,when did the films release whose actors also appear in the film [],"MATCH (m:movie)-[:starred_actors]->(a:actor)<-[:starred_actors]-(:movie {name: ""Bulletproof Monk""})-[:release_year]->(y:year)
RETURN m.name, y.name","[{'m.name': 'They Wait', 'y.name': '2003'}, {'m.name': 'The Spirit', 'y.name': '2003'}, {'m.name': 'Mr. Woodcock', 'y.name': '2003'}, {'m.name': 'The Rundown', 'y.name': '2003'}, {'m.name': 'Evolution', 'y.name': '2003'}, {'m.name': 'Role Models', 'y.name': '2003'}, {'m.name': ""Dude, Where's My Car?"", 'y.name': '2003'}, {'m.name': 'Stark Raving Mad', 'y.name': '2003'}, {'m.name': 'Goon', 'y.name': '2003'}]",unmatched,
what are the languages spoken in the films written by [Stop Making Sense] screenwriters,French|English,3,what are the languages spoken in the films written by [] screenwriters,,[],unmatched,
what genres are the movies starred by [My House in Umbria] actors,Drama|Mystery|Comedy|Music|Adventure,3,what genres are the movies starred by [] actors,"MATCH (m:movie {name: ""My House in Umbria""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(other_movies:movie)-[:has_genre]->(g:genre)
RETURN DISTINCT g.name;","[{'g.name': 'Drama'}, {'g.name': 'Comedy'}, {'g.name': 'Music'}, {'g.name': 'Mystery'}, {'g.name': 'Adventure'}]",matched,
when did the films directed by the [La Jetée] director release,1985|1983|1997,3,when did the films directed by the [] director release,"MATCH (m:movie)-[:directed_by]->(d:director) WHERE d.name = ""La Jetée"" MATCH (m)-[:release_year]->(y:year) RETURN m.name, y.name",[],unmatched,
what are the primary languages in the films directed by the director of [Foxes],French|English,3,what are the primary languages in the films directed by the director of [],"MATCH (m:movie {name: ""Foxes""})-[:directed_by]->(d:director)<-[:directed_by]-(f:movie)-[:in_language]->(l:language)
RETURN DISTINCT l.name;","[{'l.name': 'French'}, {'l.name': 'English'}]",matched,
what were the release years of the movies that share directors with the movie [Doctor Detroit],1999|1976|1982|1996,3,what were the release years of the movies that share directors with the movie [],"MATCH (m:movie {name: ""Doctor Detroit""})-[:directed_by]->(d:director)<-[:directed_by]-(sharedMovies:movie)-[:release_year]->(y:year)
RETURN sharedMovies.name, y.name;","[{'sharedMovies.name': 'A Season for Miracles', 'y.name': '1999'}, {'sharedMovies.name': 'Some Kind of Hero', 'y.name': '1982'}, {'sharedMovies.name': 'To Gillian on Her 37th Birthday', 'y.name': '1996'}, {'sharedMovies.name': 'The Great Texas Dynamite Chase', 'y.name': '1976'}]",matched,
which person wrote the movies starred by the actors in [The Trials of Henry Kissinger],Homer|Robert Ludlum|Erick Kastel|Augusten Burroughs|Ryan Murphy|Tony Gilroy|Thomas Harris|David Benioff|Jonathan English|Stephen McDool|Jag Mundhra|Nick Perry|Dagur Kári|Michael Mann|Rupert Wyatt,3,which person wrote the movies starred by the actors in [],,[],unmatched,
who are the writers that the actors in their films also appear in the film [The Night of the Iguana],Daniel Carney|Françoise Sagan|Isobel Lennart|Joseph L. Mankiewicz|Sidney Buchman|Tennessee Williams|Anthony Veiller|Richard Murphy|Casey Robinson|Michael Powell|Albert Maltz|Michel Arnold|Bridget Boland|John Paxton|Louis Bromfield|Mario Puzo|Robert Guédiguian|Wilson Collison|Jan Lustig|John Osborne|John Gay|Guy Trosper|Helen Deutsch|Charles Shaw|Rod Serling|Albert Lewin|James Jones|John le Carré|Donald Ogden Stewart|René Hardy|Edward Dmytryk|Charles Templeton|Arthur Laurents|Robin Estridge|Peter Shaffer|Frederick Nebel|Henryk Sienkiewicz|Charles Perrault|Ernest Hemingway|John Huston|Oscar Hammerstein II|Nicholas Ray|Lloyd C. Douglas|Nevil Shute|Jean Anouilh|Thomas Malory|Sidney Gilliat|Gina Kaus|Delmer Daves|Philip Dunne|Maxwell Anderson|Peter Viertel|Gene Quintano|Ivan Moffat|Talbot Jennings|John Lee Mahin|Catherine Breillat|William Archibald|Robert Anderson|Ernest Lehman|John L. Balderston|James Drought|Margaret Vyner|Andrei Tarkovsky|James R. Silke|Herbert Baker|Wells Root|Aleksandr Gordon|Joseph Kessel|Neil Jordan|Ranald MacDougall|Leopold Atlas|Graham Greene|Bernard Gordon|Terence Young|Charles W. Bailey II|Franco Zeffirelli|Henry James|Jon Cleary|George Fox|Robert Rossen|Rumer Godden|Emeric Pressburger|Richard Sokolove|Noel Langley|Sidney Sheldon|Max Ehrlich|Hugh Williams|Waldemar Young|George Orwell|Elia Kazan|Alfred Lewis Levitt|John Masters|Daphne Du Maurier|Paul Dehn|Alistair MacLean|Frank Launder|Ian La Frenais|Leo McCarey|Jerome Kern|Vincent Lawrence|Robert Morley|Joseph Stefano|Marguerite Roberts|Philip Yordan|Edward Anhalt|Sonya Levien|Fletcher Knebel|Eduardo Mignogna|Anthony Hope|Edna Ferber|William Shakespeare|Marcia Davenport|John Hale|Claude Anet|Terence Rattigan|Merle Miller|Bartlett Cormack|Michael Radford|Irma von Cube|Dick Clement|Robert Hamer|Frederic Wakeman|Enid Bagnold|Polan Banks,3,who are the writers that the actors in their films also appear in the film [],"MATCH (m:movie {name: ""The Night of the Iguana""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(m2:movie)-[:written_by]->(w:writer)
RETURN w.name, a.name","[{'w.name': 'Anthony Veiller', 'a.name': 'Ava Gardner'}, {'w.name': 'Aleksandr Gordon', 'a.name': 'Ava Gardner'}, {'w.name': 'Ernest Hemingway', 'a.name': 'Ava Gardner'}, {'w.name': 'Andrei Tarkovsky', 'a.name': 'Ava Gardner'}, {'w.name': 'Nevil Shute', 'a.name': 'Ava Gardner'}, {'w.name': 'John Paxton', 'a.name': 'Ava Gardner'}, {'w.name': 'Marcia Davenport', 'a.name': 'Ava Gardner'}, {'w.name': 'Isobel Lennart', 'a.name': 'Ava Gardner'}, {'w.name': 'Wilson Collison', 'a.name': 'Ava Gardner'}, {'w.name': 'John Lee Mahin', 'a.name': 'Ava Gardner'}, {'w.name': 'Joseph L. Mankiewicz', 'a.name': 'Ava Gardner'}, {'w.name': 'Peter Viertel', 'a.name': 'Ava Gardner'}, {'w.name': 'Ernest Hemingway', 'a.name': 'Ava Gardner'}, {'w.name': 'Michel Arnold', 'a.name': 'Ava Gardner'}, {'w.name': 'Terence Young', 'a.name': 'Ava Gardner'}, {'w.name': 'Irma von Cube', 'a.name': 'Ava Gardner'}, {'w.name': 'Claude Anet', 'a.name': 'Ava Gardner'}, {'w.name': 'Joseph Kessel', 'a.name': 'Ava Gardner'}, {'w.name': 'John Masters', 'a.name': 'Ava Gardner'}, {'w.name': 'Ivan Moffat', 'a.name': 'Ava Gardner'}, {'w.name': 'Sonya Levien', 'a.name': 'Ava Gardner'}, {'w.name': 'Polan Banks', 'a.name': 'Ava Gardner'}, {'w.name': 'Leopold Atlas', 'a.name': 'Ava Gardner'}, {'w.name': 'Charles Templeton', 'a.name': 'Ava Gardner'}, {'w.name': 'Richard Murphy', 'a.name': 'Ava Gardner'}, {'w.name': 'Casey Robinson', 'a.name': 'Ava Gardner'}, {'w.name': 'Robert Guédiguian', 'a.name': 'Ava Gardner'}, {'w.name': 'Frederick Nebel', 'a.name': 'Ava Gardner'}, {'w.name': 'Marguerite Roberts', 'a.name': 'Ava Gardner'}, {'w.name': 'George Fox', 'a.name': 'Ava Gardner'}, {'w.name': 'Mario Puzo', 'a.name': 'Ava Gardner'}, {'w.name': 'Jan Lustig', 'a.name': 'Ava Gardner'}, {'w.name': 'Talbot Jennings', 'a.name': 'Ava Gardner'}, {'w.name': 'Thomas Malory', 'a.name': 'Ava Gardner'}, {'w.name': 'Noel Langley', 'a.name': 'Ava Gardner'}, {'w.name': 'Albert Lewin', 'a.name': 'Ava Gardner'}, {'w.name': 'Edna Ferber', 'a.name': 'Ava Gardner'}, {'w.name': 'Oscar Hammerstein II', 'a.name': 'Ava Gardner'}, {'w.name': 'Jerome Kern', 'a.name': 'Ava Gardner'}, {'w.name': 'John Lee Mahin', 'a.name': 'Ava Gardner'}, {'w.name': 'Fletcher Knebel', 'a.name': 'Ava Gardner'}, {'w.name': 'Charles W. Bailey II', 'a.name': 'Ava Gardner'}, {'w.name': 'Rod Serling', 'a.name': 'Ava Gardner'}, {'w.name': 'Bernard Gordon', 'a.name': 'Ava Gardner'}, {'w.name': 'Robert Hamer', 'a.name': 'Ava Gardner'}, {'w.name': 'Philip Yordan', 'a.name': 'Ava Gardner'}, {'w.name': 'Charles Shaw', 'a.name': 'Deborah Kerr'}, {'w.name': 'John Lee Mahin', 'a.name': 'Deborah Kerr'}, {'w.name': 'John Huston', 'a.name': 'Deborah Kerr'}, {'w.name': 'Max Ehrlich', 'a.name': 'Deborah Kerr'}, {'w.name': 'Joseph Stefano', 'a.name': 'Deborah Kerr'}, {'w.name': 'Robert Morley', 'a.name': 'Deborah Kerr'}, {'w.name': 'Donald Ogden Stewart', 'a.name': 'Deborah Kerr'}, {'w.name': 'Noel Langley', 'a.name': 'Deborah Kerr'}, {'w.name': 'John Gay', 'a.name': 'Deborah Kerr'}, {'w.name': 'Terence Rattigan', 'a.name': 'Deborah Kerr'}, {'w.name': 'Robert Anderson', 'a.name': 'Deborah Kerr'}, {'w.name': 'Françoise Sagan', 'a.name': 'Deborah Kerr'}, {'w.name': 'Arthur Laurents', 'a.name': 'Deborah Kerr'}, {'w.name': 'Leo McCarey', 'a.name': 'Deborah Kerr'}, {'w.name': 'Delmer Daves', 'a.name': 'Deborah Kerr'}, {'w.name': 'Donald Ogden Stewart', 'a.name': 'Deborah Kerr'}, {'w.name': 'James Drought', 'a.name': 'Deborah Kerr'}, {'w.name': 'Alfred Lewis Levitt', 'a.name': 'Deborah Kerr'}, {'w.name': 'Herbert Baker', 'a.name': 'Deborah Kerr'}, {'w.name': 'Sidney Sheldon', 'a.name': 'Deborah Kerr'}, {'w.name': 'Hugh Williams', 'a.name': 'Deborah Kerr'}, {'w.name': 'Margaret Vyner', 'a.name': 'Deborah Kerr'}, {'w.name': 'Robin Estridge', 'a.name': 'Deborah Kerr'}, {'w.name': 'William Archibald', 'a.name': 'Deborah Kerr'}, {'w.name': 'Henry James', 'a.name': 'Deborah Kerr'}, {'w.name': 'Frederic Wakeman', 'a.name': 'Deborah Kerr'}, {'w.name': 'Rumer Godden', 'a.name': 'Deborah Kerr'}, {'w.name': 'Michael Powell', 'a.name': 'Deborah Kerr'}, {'w.name': 'Emeric Pressburger', 'a.name': 'Deborah Kerr'}, {'w.name': 'Elia Kazan', 'a.name': 'Deborah Kerr'}, {'w.name': 'Enid Bagnold', 'a.name': 'Deborah Kerr'}, {'w.name': 'Jon Cleary', 'a.name': 'Deborah Kerr'}, {'w.name': 'Isobel Lennart', 'a.name': 'Deborah Kerr'}, {'w.name': 'Wells Root', 'a.name': 'Deborah Kerr'}, {'w.name': 'Donald Ogden Stewart', 'a.name': 'Deborah Kerr'}, {'w.name': 'John L. Balderston', 'a.name': 'Deborah Kerr'}, {'w.name': 'Noel Langley', 'a.name': 'Deborah Kerr'}, {'w.name': 'Anthony Hope', 'a.name': 'Deborah Kerr'}, {'w.name': 'Ian La Frenais', 'a.name': 'Deborah Kerr'}, {'w.name': 'Dick Clement', 'a.name': 'Deborah Kerr'}, {'w.name': 'Helen Deutsch', 'a.name': 'Deborah Kerr'}, {'w.name': 'James R. Silke', 'a.name': 'Deborah Kerr'}, {'w.name': 'Gene Quintano', 'a.name': 'Deborah Kerr'}, {'w.name': 'Frank Launder', 'a.name': 'Deborah Kerr'}, {'w.name': 'Sidney Gilliat', 'a.name': 'Deborah Kerr'}, {'w.name': 'Neil Jordan', 'a.name': 'Deborah Kerr'}, {'w.name': 'Graham Greene', 'a.name': 'Deborah Kerr'}, {'w.name': 'Henryk Sienkiewicz', 'a.name': 'Deborah Kerr'}, {'w.name': 'Sonya Levien', 'a.name': 'Deborah Kerr'}, {'w.name': 'John Lee Mahin', 'a.name': 'Deborah Kerr'}, {'w.name': 'James Jones', 'a.name': 'Deborah Kerr'}, {'w.name': 'Richard Sokolove', 'a.name': 'Richard Burton'}, {'w.name': 'John Hale', 'a.name': 'Richard Burton'}, {'w.name': 'Bridget Boland', 'a.name': 'Richard Burton'}, {'w.name': 'Maxwell Anderson', 'a.name': 'Richard Burton'}, {'w.name': 'Daphne Du Maurier', 'a.name': 'Richard Burton'}, {'w.name': 'Robert Rossen', 'a.name': 'Richard Burton'}, {'w.name': 'Peter Shaffer', 'a.name': 'Richard Burton'}, {'w.name': 'John Osborne', 'a.name': 'Richard Burton'}, {'w.name': 'Franco Zeffirelli', 'a.name': 'Richard Burton'}, {'w.name': 'William Shakespeare', 'a.name': 'Richard Burton'}, {'w.name': 'George Orwell', 'a.name': 'Richard Burton'}, {'w.name': 'Michael Radford', 'a.name': 'Richard Burton'}, {'w.name': 'Ernest Lehman', 'a.name': 'Richard Burton'}, {'w.name': 'Jean Anouilh', 'a.name': 'Richard Burton'}, {'w.name': 'Edward Anhalt', 'a.name': 'Richard Burton'}, {'w.name': 'Tennessee Williams', 'a.name': 'Richard Burton'}, {'w.name': 'Terence Rattigan', 'a.name': 'Richard Burton'}, {'w.name': 'Guy Trosper', 'a.name': 'Richard Burton'}, {'w.name': 'Paul Dehn', 'a.name': 'Richard Burton'}, {'w.name': 'John le Carré', 'a.name': 'Richard Burton'}, {'w.name': 'Alistair MacLean', 'a.name': 'Richard Burton'}, {'w.name': 'Catherine Breillat', 'a.name': 'Richard Burton'}, {'w.name': 'Charles Perrault', 'a.name': 'Richard Burton'}, {'w.name': 'Edward Dmytryk', 'a.name': 'Richard Burton'}, {'w.name': 'Eduardo Mignogna', 'a.name': 'Richard Burton'}, {'w.name': 'Vincent Lawrence', 'a.name': 'Richard Burton'}, {'w.name': 'Bartlett Cormack', 'a.name': 'Richard Burton'}, {'w.name': 'Waldemar Young', 'a.name': 'Richard Burton'}, {'w.name': 'Ranald MacDougall', 'a.name': 'Richard Burton'}, {'w.name': 'Sidney Buchman', 'a.name': 'Richard Burton'}, {'w.name': 'Joseph L. Mankiewicz', 'a.name': 'Richard Burton'}, {'w.name': 'Gina Kaus', 'a.name': 'Richard Burton'}, {'w.name': 'Lloyd C. Douglas', 'a.name': 'Richard Burton'}, {'w.name': 'Albert Maltz', 'a.name': 'Richard Burton'}, {'w.name': 'Philip Dunne', 'a.name': 'Richard Burton'}, {'w.name': 'Merle Miller', 'a.name': 'Richard Burton'}, {'w.name': 'Louis Bromfield', 'a.name': 'Richard Burton'}, {'w.name': 'René Hardy', 'a.name': 'Richard Burton'}, {'w.name': 'Nicholas Ray', 'a.name': 'Richard Burton'}, {'w.name': 'Daniel Carney', 'a.name': 'Richard Burton'}]",matched,
the movies that share directors with the movie [Critters] were in which genres,Drama|Comedy|Music|Adventure|Family,3,the movies that share directors with the movie [] were in which genres,"MATCH (m:movie {name: ""Critters""})-[:directed_by]->(d:director)<-[:directed_by]-(shared_movies:movie)-[:has_genre]->(g:genre)
RETURN shared_movies.name, g.name","[{'shared_movies.name': 'Holy Man', 'g.name': 'Comedy'}, {'shared_movies.name': 'Holy Man', 'g.name': 'Drama'}, {'shared_movies.name': 'The Three Musketeers', 'g.name': 'Comedy'}, {'shared_movies.name': 'The Three Musketeers', 'g.name': 'Adventure'}, {'shared_movies.name': 'The Three Musketeers', 'g.name': 'Drama'}, {'shared_movies.name': 'Man of the House', 'g.name': 'Comedy'}, {'shared_movies.name': 'The Chaperone', 'g.name': 'Comedy'}, {'shared_movies.name': 'Rock Star', 'g.name': 'Music'}, {'shared_movies.name': 'Rock Star', 'g.name': 'Comedy'}, {'shared_movies.name': 'Rock Star', 'g.name': 'Drama'}, {'shared_movies.name': ""Mr. Holland's Opus"", 'g.name': 'Music'}, {'shared_movies.name': ""Mr. Holland's Opus"", 'g.name': 'Drama'}, {'shared_movies.name': ""Don't Tell Mom the Babysitter's Dead"", 'g.name': 'Comedy'}, {'shared_movies.name': 'Life or Something Like It', 'g.name': 'Comedy'}, {'shared_movies.name': '101 Dalmatians', 'g.name': 'Family'}, {'shared_movies.name': '101 Dalmatians', 'g.name': 'Comedy'}, {'shared_movies.name': 'The Mighty Ducks', 'g.name': 'Comedy'}]",matched,
what genres are the movies directed by the [Operation Petticoat] director,Drama|Music|Western|Action|Comedy|Musical|Thriller,3,what genres are the movies directed by the [] director,,,error,"Traceback (most recent call last):
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_community\graphs\neo4j_graph.py"", line 223, in query
    data = session.run(Query(text=query, timeout=self.timeout), params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\neo4j\work\simple.py"", line 215, in run
    self._autoResult._run(
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\neo4j\work\result.py"", line 114, in _run
    self._attach()
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\neo4j\work\result.py"", line 203, in _attach
    self._connection.fetch_message()
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\neo4j\io\_common.py"", line 167, in inner
    func(*args, **kwargs)
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\neo4j\io\_bolt4.py"", line 309, in fetch_message
    response.on_failure(summary_metadata or {})
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\neo4j\io\_common.py"", line 225, in on_failure
    raise Neo4jError.hydrate(**metadata)
neo4j.exceptions.CypherSyntaxError: {code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '<': expected ""-"" or <ARROW_LINE> (line 1, column 90 (offset: 89))
""MATCH (m:movie {name: ""Operation Petticoat""})-[:directed_by]->(d:director)-[:directed_by]<-(m2:movie)-[:has_genre]->(g:genre)""
                                                                                          ^}

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\evaluation_metaqa_tomaz.py"", line 173, in run_baseline_langchain_flow
    chain_response = chain(question)
                     ^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_core\_api\deprecation.py"", line 145, in warning_emitting_wrapper
    return wrapped(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\base.py"", line 378, in __call__
    return self.invoke(
           ^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\base.py"", line 163, in invoke
    raise e
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\base.py"", line 153, in invoke
    self._call(inputs, run_manager=run_manager)
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain\chains\graph_qa\cypher.py"", line 267, in _call
    context = self.graph.query(generated_cypher)[: self.top_k]
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\AppData\Local\anaconda3\envs\311\Lib\site-packages\langchain_community\graphs\neo4j_graph.py"", line 229, in query
    raise ValueError(f""Generated Cypher Statement is not valid\n{e}"")
ValueError: Generated Cypher Statement is not valid
{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '<': expected ""-"" or <ARROW_LINE> (line 1, column 90 (offset: 89))
""MATCH (m:movie {name: ""Operation Petticoat""})-[:directed_by]->(d:director)-[:directed_by]<-(m2:movie)-[:has_genre]->(g:genre)""
                                                                                          ^}
"
who starred movies for the director of [Home from the Hill],Gregory Peck|Rex Harrison|Marjorie Main|Dick Powell|George Hamilton|Cyd Charisse|James Donald|Spencer Tracy|Gloria Grahame|Frank Morgan|Glenn Ford|Kay Kendall|Desi Arnaz|Don Taylor|Robert Walker|Isabelle Huppert|Van Heflin|Judy Garland|Jennifer Jones|Diane Keaton|Katharine Hepburn|Anthony Quinn|Steve Martin|Mildred Natwick|Oscar Levant|Fred Astaire|Elizabeth Taylor|John Saxon|Martha Hyer|Kirk Douglas|Pamela Brown|Louis Jourdan|Richard Widmark|Gaby Morlay|Ethel Barrymore|Keenan Wynn|Mary Astor|Edward Andrews|Margaret O'Brien|Joan Bennett|Lauren Bacall|Lucille Bremer|Robert Taylor|Walter Pidgeon|Yvonne de Bray|James Mason|Leif Erickson|Shirley MacLaine|Lucille Ball|Dean Martin|Robert Mitchum|Richard Burton|Gene Kelly|Van Johnson|Lana Turner|Edward G. Robinson|Frank Sinatra|Fanny Brice|Jean Tissier|Georges Guétary|Pier Angeli|Kieran Culkin|Deborah Kerr|John Kerr|Sandra Dee|Leslie Caron|Judy Holliday,3,who starred movies for the director of [],,[],unmatched,
